p (mbar),Tpot (K),rho (g/m**3),wd(deg)
996.41,287.65,1201.68,130.6
996.38,288.54,1198.4,142.5
996.36,289.07,1196.19,146.1
996.36,289.49,1194.61,146.6
996.2,289.77,1193.4,152
996.1,289.98,1192.45,132.3
995.99,290.03,1192.15,125.8
995.91,290.44,1190.47,136.9
995.85,290.66,1189.48,138.9
995.77,290.95,1188.18,158.6
995.76,290.95,1188.17,168.6
995.74,290.99,1187.97,147.8
995.7,291.12,1187.38,153.4
995.71,291.54,1185.71,155.9
995.73,291.64,1185.36,159.8
995.72,291.73,1184.91,188.4
995.68,291.34,1186.51,100.7
995.67,291.61,1185.36,146.9
995.63,292.03,1183.63,126
995.61,291.82,1184.5,134.4
995.61,292.17,1183.05,136.2
995.58,292.62,1181.15,170.7
995.5,293.27,1178.42,147.2
995.51,293.25,1178.55,139.4
995.49,292.54,1181.45,123.2
995.49,291.99,1183.7,156.9
995.46,291.77,1184.58,115.9
995.48,291.75,1184.61,114.4
995.49,291.53,1185.45,121.5
995.49,291.21,1186.87,101
995.5,290.88,1188.17,58.97
995.58,290.29,1190.64,43.98
995.61,289.8,1192.65,33.36
995.62,289.5,1193.92,33
995.7,289.34,1194.65,26.78
995.75,289.23,1195.12,19.26
995.75,289.07,1195.78,8.2
995.86,288.74,1197.25,1.98
995.98,288.54,1198.19,8.85
996.12,288.17,1199.88,6.6
996.25,287.83,1201.42,29.77
996.35,287.95,1201,7.99
996.46,287.79,1201.8,42.21
996.58,287.22,1204.28,49.13
996.51,287.54,1202.96,23.23
996.49,287.38,1203.63,55.43
996.56,286.83,1205.94,86.2
996.65,286.38,1207.9,93.1
996.72,286.36,1208.08,66.47
996.74,286.3,1208.36,31.81
996.74,286.02,1209.59,49.95
996.73,285.62,1211.29,20.54
996.73,285.51,1211.75,66.24
996.75,285.16,1213.33,50.04
996.74,284.99,1214.03,83.4
996.75,284.75,1215.08,332
996.79,284.7,1215.32,15.49
996.82,284.47,1216.38,18.75
996.84,284.29,1217.25,68.13
996.87,284.13,1217.92,26.98
996.94,283.65,1220.21,57.47
997,283.28,1221.9,202.7
996.99,283.23,1222.08,209.1
996.98,283,1223.19,222.2
997.02,282.99,1223.2,212.8
997.03,283,1223.17,197.6
997,282.85,1223.85,204.6
997.04,282.66,1224.74,200.7
996.98,282.47,1225.52,190.5
997,282.22,1226.68,138.6
996.99,282.11,1227.16,68.48
996.97,281.41,1230.46,122.6
996.95,281.08,1231.99,147.2
996.89,280.98,1232.35,120.1
996.86,280.81,1233.11,113.1
996.86,280.57,1234.25,132.7
996.87,280.35,1235.29,86.7
996.96,280.22,1235.96,81.5
997.09,280.19,1236.22,134
997.13,280.16,1236.35,157.2
997.2,280.16,1236.4,169.9
997.23,280.22,1236.14,163.3
997.23,280.22,1236.12,180
997.25,280.28,1235.89,210.9
997.24,279.88,1237.78,198.6
997.27,279.58,1239.18,208.2
997.24,279.66,1238.77,178.6
997.23,279.47,1239.69,149.5
997.2,279.49,1239.53,154.6
997.24,279.47,1239.67,165.2
997.24,279.46,1239.73,152.5
997.22,279.47,1239.67,188.7
997.18,279.35,1240.2,229.2
997.09,279.43,1239.73,233.8
997.03,279.53,1239.2,212.5
996.97,279.58,1238.92,123
996.95,279.38,1239.86,161.1
996.87,279.19,1240.68,175.7
996.9,278.99,1241.63,126.9
996.95,278.94,1241.91,101.7
996.91,278.96,1241.81,164.1
996.92,278.93,1241.96,233.7
996.94,279.02,1241.54,158.1
996.97,278.85,1242.36,133.2
996.93,278.71,1243,194.8
996.85,278.86,1242.23,185.6
996.95,278.49,1244.06,145.7
996.92,278.29,1245,156.4
996.86,278.27,1245.05,198.3
996.91,278.33,1244.8,110.3
996.9,278.25,1245.18,155.1
996.89,278.19,1245.41,163.8
996.86,278.31,1244.82,123.5
996.82,278.3,1244.86,231.1
996.78,279.2,1240.52,219.2
996.76,279.09,1241.03,161.7
996.77,278.17,1245.44,194.2
996.82,278.45,1244.11,207.1
996.87,278.52,1243.83,163.7
996.86,278.29,1244.93,148.7
996.86,278.47,1244.05,145.8
996.89,278.9,1242.06,156.5
996.98,279.21,1240.66,169.3
996.99,279.4,1239.75,157.9
996.96,279.34,1240.02,162.3
996.81,279.58,1238.78,185.9
996.78,279.85,1237.45,212.3
996.76,280,1236.74,209.7
996.79,280.34,1235.15,206.2
996.73,280.63,1233.73,196.2
996.65,280.81,1232.85,193.1
996.6,280.99,1231.93,216.4
996.62,281.57,1229.21,210.4
996.6,282.02,1227.07,192.8
996.59,282.28,1225.91,201.5
996.61,282.69,1223.96,190.5
996.71,283.31,1221.15,186.6
996.75,283.97,1218.03,178.8
996.73,284.3,1216.53,142.5
996.71,284.48,1215.7,158.5
996.69,284.66,1214.86,216.3
996.71,285.23,1212.26,143.1
996.66,285.66,1210.28,168.1
996.56,285.87,1209.37,101.8
996.49,286.19,1208.04,220.4
996.51,286.6,1206.68,145.3
996.47,286.98,1205.16,146.2
996.38,287.5,1202.88,158.2
996.26,288.23,1199.65,160.2
996.14,288.56,1198.17,158.3
996.01,289.12,1195.59,159.8
995.94,289.62,1193.46,155
995.8,289.63,1193.32,153.4
995.61,289.87,1192.09,167.3
995.46,290.22,1190.55,163.4
995.35,290.66,1188.62,161.4
995.3,290.65,1188.67,151.4
995.19,290.6,1188.79,157.3
995.07,290.63,1188.65,170.6
995.07,290.71,1188.29,176.3
994.97,290.82,1187.7,171
994.94,290.89,1187.34,169.8
994.94,291,1186.89,163.9
994.92,291.06,1186.59,168.5
994.92,291.06,1186.63,171.1
994.88,290.95,1187.11,186.8
994.78,290.97,1186.94,171.8
994.67,291.02,1186.55,176.9
994.67,290.83,1187.33,201.7
994.62,290.6,1188.21,193.1
994.59,290.51,1188.62,207.3
994.68,290.43,1189.03,206.1
994.7,290.26,1189.71,214.5
994.67,290.03,1190.55,223.4
994.63,289.89,1191.11,223.2
994.69,289.69,1191.95,237.6
994.77,289.67,1192.1,224.4
994.85,289.49,1192.93,231.8
994.96,289.33,1193.7,230.7
994.98,289.32,1193.77,217.7
995.09,288.57,1196.73,51.43
995.13,288.19,1198.37,245.7
995.13,288.15,1198.82,239.7
995.16,288.17,1198.82,255.3
995.26,287.4,1201.96,9.71
995.27,287.39,1202.18,229.6
995.31,287.49,1201.84,189.9
995.33,287.17,1203.19,339.6
995.38,286.81,1204.62,39.53
995.44,286.75,1204.96,289.8
995.49,286.56,1205.87,227.5
995.48,286.41,1206.48,33.46
995.44,286.12,1207.63,32.61
995.4,286.08,1207.77,37.12
995.48,285.77,1209.23,161.2
995.45,285.66,1209.65,1.7
995.5,285.64,1209.8,222
995.49,285.61,1209.93,128.5
995.48,285.4,1210.86,84.2
995.56,285.08,1212.34,202.2
995.63,284.98,1212.84,200
995.65,285.05,1212.53,45.12
995.64,284.95,1213.01,168.7
995.67,284.78,1213.74,212.8
995.66,284.72,1213.93,245.6
995.68,284.8,1213.55,227.9
995.66,284.71,1213.94,214.1
995.67,284.66,1214.18,200.4
995.75,284.31,1215.91,191.3
995.74,284.26,1216.09,208.4
995.71,284.14,1216.59,202.8
995.67,284.1,1216.71,194.7
995.66,284.09,1216.73,188.5
995.64,284.08,1216.76,161.6
995.63,283.99,1217.21,204
995.61,284.04,1216.95,207.2
995.52,284.06,1216.77,228.8
995.5,284.01,1217.08,212.2
995.53,283.84,1217.85,231.9
995.49,283.98,1217.19,238.8
995.44,284.14,1216.42,233.9
995.4,284.17,1216.27,231.5
995.41,284.13,1216.47,193.5
995.45,283.83,1217.93,206.6
995.4,283.66,1218.61,214.4
995.33,283.83,1217.74,199.3
995.26,283.9,1217.35,224.5
995.19,284.05,1216.57,217.4
995.14,284.31,1215.4,224.6
995.16,284.06,1216.63,172.5
995.23,283.87,1217.52,204.6
995.18,283.99,1216.88,235.7
995.14,284.12,1216.27,214.6
995.13,284.23,1215.78,219.8
995.12,284.17,1216.05,168.7
995.11,284.17,1216.03,172
995.12,284.07,1216.53,194.4
995.13,283.94,1217.11,175.1
995.11,283.96,1216.97,164.3
995.11,284.03,1216.62,357.8
995.06,284.08,1216.32,1.13
995.07,284.24,1215.6,272.2
995.02,284.25,1215.57,217.9
994.96,284.31,1215.19,336.5
994.88,284.49,1214.3,101.5
994.88,284.16,1215.84,203
994.89,284.17,1215.74,212.2
994.85,284.23,1215.41,228.2
994.77,284.27,1215.17,207.4
994.77,284.23,1215.35,207.1
994.76,284.36,1214.71,218.3
994.76,284.32,1214.93,173.2
994.74,284.13,1215.78,183.8
994.73,284.04,1216.18,143
994.69,284.04,1216.11,135.3
994.67,284.03,1216.13,185.5
994.65,284.06,1216,218.8
994.64,284.16,1215.51,171.2
994.63,284.43,1214.21,221.1
994.63,284.89,1212.08,236.1
994.64,284.8,1212.58,212.2
994.74,284.52,1213.98,193.6
994.79,284.62,1213.49,235.6
994.89,284.89,1212.37,241.5
994.99,284.94,1212.27,282
995.03,285.03,1211.93,28.62
995.09,285.01,1212.07,31.87
995.1,285.05,1211.88,4.75
995.17,285.11,1211.62,40.16
995.24,285.41,1210.35,82.2
995.25,285.31,1210.87,176.7
995.26,285.36,1210.63,60.81
995.28,285.13,1211.74,137.6
995.36,285.31,1210.91,100.3
995.36,285.44,1210.34,52.75
995.37,285.38,1210.62,187.3
995.38,285.54,1209.9,200.3
995.38,285.77,1208.88,124
995.4,285.89,1208.4,155.1
995.38,286.01,1207.82,130.9
995.3,286.14,1207.17,114.7
995.33,286.25,1206.67,202.9
995.28,286.58,1205.19,136.3
995.29,286.36,1206.24,89
995.34,286.31,1206.47,35.25
995.32,286.5,1205.74,285
995.26,286.64,1205.27,317.1
995.18,286.88,1204.23,296.8
995.1,287.25,1202.7,204.7
995.02,287.92,1199.73,182.1
994.92,288.22,1198.41,151.1
994.89,288.56,1197,100.5
994.84,287.92,1199.63,233.2
994.73,287.95,1199.5,218.2
994.65,287.86,1199.79,206.3
994.64,287.97,1199.25,9.68
994.58,287.71,1200.38,345
994.5,287.76,1200.13,293.1
994.37,287.95,1199.23,223.7
994.32,288.03,1198.84,211.2
994.24,288.25,1197.86,224.9
994.23,288.3,1197.62,329.6
994.13,288.18,1198.03,35.8
994.08,288.11,1198.34,214.2
993.97,288.13,1198.24,224.3
993.99,288.11,1198.27,263.2
993.98,287.48,1200.83,286.6
993.91,286.91,1203.02,258.5
993.75,286.95,1202.61,4.61
993.67,286.98,1202.44,343.2
993.66,287.16,1201.61,170.7
993.65,287.32,1200.87,181.8
993.48,287.24,1201.18,218.9
993.35,287.28,1200.89,192.8
993.25,287.26,1200.9,65.94
993.19,287.15,1201.33,57.22
993.2,287.32,1200.6,23.8
993.13,287.06,1201.69,4.94
993.01,286.89,1202.22,251.6
993.03,286.74,1202.94,219.1
992.98,286.69,1203.13,183.5
993.03,286.48,1203.99,237.4
992.97,286.38,1204.45,225.5
992.92,286.2,1205.2,219.1
993.03,286.06,1205.88,216.7
993.04,285.98,1206.24,209.6
993.05,286.01,1206.04,237.5
992.88,285.92,1206.33,231.2
992.8,285.74,1207.04,244.9
992.8,285.57,1207.8,165.6
992.81,285.22,1209.35,234.2
992.8,285.19,1209.39,237.6
992.8,285.17,1209.47,199.7
992.8,285.08,1209.9,183.3
992.81,284.96,1210.44,235.5
992.91,284.92,1210.74,247.3
992.85,284.82,1211.18,233
992.81,284.5,1212.64,219.6
992.8,284.31,1213.42,202.8
992.8,284.13,1214.22,232.9
992.74,284.13,1214.15,226.5
992.74,284.23,1213.79,216.6
992.77,284.14,1214.28,207
992.74,284.18,1214.11,212.4
992.76,284.32,1213.57,212.6
992.76,284.47,1212.97,215.8
992.7,284.67,1212.15,219
992.67,284.81,1211.56,213.7
992.5,284.8,1211.47,189.3
992.35,284.61,1212.09,188.6
992.31,284.29,1213.45,200.8
992.16,284.2,1213.71,189.6
992.03,284.13,1213.87,192.3
991.93,283.94,1214.62,203.1
991.83,283.84,1214.99,207.2
991.83,283.81,1215.13,205.7
991.83,283.81,1215.18,218.2
991.63,283.76,1215.23,211.4
991.46,283.57,1215.86,206.9
991.33,283.67,1215.41,203.5
991.29,283.86,1214.62,213.1
991.12,283.74,1214.92,94
991.02,283.47,1215.94,35.91
990.89,283.33,1216.39,51.57
990.83,283.27,1216.61,79
990.75,283.19,1216.87,175.9
990.68,283.06,1217.41,190.1
990.5,283.06,1217.22,172.9
990.39,283.04,1217.25,186.7
990.25,282.98,1217.4,192.8
990.19,282.96,1217.47,202.4
990.12,282.95,1217.44,206.2
990.02,282.93,1217.45,205.6
989.83,282.92,1217.34,199.5
989.72,282.88,1217.39,200.8
989.61,282.86,1217.39,208.4
989.48,282.87,1217.24,204.4
989.42,282.89,1217.12,201.2
989.37,282.92,1216.92,199.1
989.31,282.85,1217.22,202.7
989.23,282.76,1217.5,222.5
989.23,282.93,1216.67,211
989.15,282.98,1216.43,196.5
989,282.89,1216.67,192
989.04,282.91,1216.6,215.8
989.06,283.06,1215.91,287.6
988.95,283.15,1215.48,269.2
988.95,283.06,1216.02,246.2
988.98,283.02,1216.31,261.6
988.89,282.95,1216.53,249
988.65,282.93,1216.37,280.7
988.63,282.99,1216.06,236.4
988.8,282.89,1216.7,282.9
988.84,282.8,1217.19,308.3
988.87,282.75,1217.48,308
988.8,282.72,1217.7,282.5
988.88,282.61,1218.28,310.9
988.98,282.51,1218.85,307.3
988.93,282.46,1219.14,287.3
988.87,282.23,1220.11,269.8
988.88,282,1221.1,265.9
988.87,281.81,1221.94,264.8
988.78,281.62,1222.75,296.2
988.8,281.45,1223.6,237.6
988.88,281.34,1224.12,206.5
988.93,281.16,1224.98,201.8
988.92,280.77,1226.71,227.5
988.97,280.63,1227.36,218.7
989.05,280.54,1227.9,224.5
989.01,280.43,1228.36,216.7
989.04,280.41,1228.47,219.2
989.1,281.08,1225.59,218.7
989.17,282.09,1221.18,199
989.22,282.26,1220.47,197.1
989.3,281.98,1221.8,198.1
989.34,281.88,1222.16,196.7
989.28,281.92,1221.93,200.5
989.28,282,1221.53,211.2
989.33,281.94,1221.83,209
989.39,282.12,1221.1,188
989.48,282.4,1219.92,184.3
989.46,282.62,1218.98,181.2
989.47,282.67,1218.7,208.3
989.4,282.81,1218.12,188.6
989.37,282.83,1218.03,218.3
989.35,282.75,1218.35,216.5
989.33,282.66,1218.84,233.7
989.32,282.63,1219.07,241.5
989.21,282.79,1218.2,347.7
989.09,283.53,1214.82,116.4
988.99,283.94,1213.23,214.7
988.86,284.1,1212.52,214.4
988.85,284.09,1212.61,213.5
988.81,284.02,1212.85,206.3
988.76,284.16,1212.28,210
988.71,283.93,1213.33,208.1
988.66,283.84,1213.65,214.4
988.52,283.85,1213.47,210.2
988.42,283.75,1213.72,209.7
988.35,283.51,1214.61,199.6
988.26,283.32,1215.29,208.8
988.15,283.32,1215.1,204.4
987.99,283.44,1214.41,206.8
987.89,283.5,1214.06,208.4
987.83,283.33,1214.64,210.7
987.65,283.36,1214.3,199.8
987.56,283.45,1213.77,197.2
987.4,283.57,1213.14,191.1
987.31,283.65,1212.68,200.8
987.19,283.71,1212.37,198.6
986.98,283.81,1211.85,200.8
986.91,283.99,1210.97,193.9
986.87,284.03,1210.75,187.1
986.8,284,1210.88,196
986.73,284.21,1209.85,185.4
986.6,284.31,1209.29,182.5
986.52,284.21,1209.68,194.9
986.48,284.2,1209.77,195.6
986.45,284.27,1209.49,205.7
986.35,284.25,1209.55,201
986.27,284.21,1209.67,200.9
986.18,284.2,1209.63,189.4
986.18,284.14,1209.83,190.8
986.17,284.15,1209.83,198.3
986.18,284.14,1209.9,200.4
986.17,284.12,1209.98,193
986.17,284.03,1210.36,192.7
986.16,283.99,1210.5,184.2
986.09,283.91,1210.79,183.2
986.03,283.77,1211.33,188.9
986.01,283.58,1212.14,190.8
985.99,283.56,1212.23,194
986.05,283.55,1212.33,191.6
986.06,283.56,1212.27,189.7
986.04,283.59,1212.09,190.7
985.95,283.62,1211.87,182.7
985.86,283.52,1212.17,183.8
985.83,283.37,1212.79,192.8
985.77,283.35,1212.83,185.1
985.71,283.38,1212.61,179.8
985.76,283.4,1212.56,188.5
985.76,283.44,1212.4,190.2
985.62,283.49,1212.04,190.2
985.57,283.44,1212.23,190.5
985.57,283.35,1212.57,193.4
985.6,283.11,1213.51,191.7
985.68,282.8,1214.8,187.7
985.7,282.78,1214.92,192.9
985.69,282.62,1215.53,188.4
985.68,282.39,1216.48,194.2
985.74,282.32,1216.84,198.2
985.89,282.23,1217.32,217.6
985.79,282.12,1217.69,200.4
985.73,282.11,1217.68,197.4
985.76,282.12,1217.66,209.5
985.81,282.15,1217.6,210.1
985.85,282.05,1218.08,209.9
985.93,282.05,1218.11,229.2
986.01,282.09,1218.02,220.5
986.09,282.01,1218.74,244.5
986.19,281.89,1219.56,247.8
986.18,281.69,1220.55,223.8
986.25,281.45,1221.68,257.5
986.35,281.24,1222.76,257
986.41,281.04,1223.74,248.9
986.54,281.22,1223.13,259.6
986.54,281.35,1222.6,261.3
986.56,281.36,1222.55,245.3
986.67,281.34,1222.69,233.9
986.74,281.51,1222,168.6
986.7,281.38,1222.59,215.2
986.75,281.21,1223.34,221.6
986.79,280.95,1224.43,216.9
986.79,280.7,1225.48,232.2
986.81,280.62,1225.83,227.8
986.85,280.62,1225.86,260.8
986.79,280.67,1225.64,227.5
986.79,280.52,1226.22,223.2
986.78,280.49,1226.39,221.1
986.8,280.57,1226.07,216
986.79,280.62,1225.89,215.9
986.78,280.58,1226.02,218.5
986.76,280.61,1225.9,221.1
986.71,280.63,1225.76,208.8
986.68,280.67,1225.57,205.2
986.63,280.7,1225.41,210.6
986.54,280.73,1225.2,197.1
986.55,280.68,1225.41,204.5
986.52,280.74,1225.19,207.2
986.43,280.73,1225.19,203.6
986.43,280.6,1225.75,213.1
986.44,280.5,1226.23,231.6
986.42,280.31,1227.08,228.9
986.41,280.24,1227.4,231.2
986.32,280.22,1227.4,232.1
986.3,280.14,1227.78,238.1
986.29,280.17,1227.64,245.2
986.25,280.14,1227.72,240.5
986.23,280.23,1227.33,237.1
986.31,280.37,1226.77,224.8
986.36,279.93,1228.68,216.5
986.38,279.61,1230.06,50.38
986.37,279.96,1228.51,87.5
986.34,280.01,1228.25,184.3
986.37,279.86,1228.96,214.5
986.41,279.85,1229.06,212.4
986.49,279.84,1229.16,215.1
986.47,279.88,1228.97,220.9
986.52,279.97,1228.6,212.3
986.56,279.98,1228.61,210.1
986.55,279.97,1228.64,219.8
986.6,279.95,1228.78,230.6
986.68,280,1228.61,189.2
986.76,280.2,1227.72,236
986.89,280.64,1225.87,42.1
986.99,280.34,1227.26,337
987.05,280.25,1227.7,232.7
987.07,280.22,1227.83,197.1
987.16,280.21,1227.93,210
987.18,280.32,1227.43,230.9
987.18,280.59,1226.24,218
987.26,281.18,1223.7,148.6
987.3,281.44,1222.61,190.9
987.29,281.64,1221.75,194.3
987.28,281.68,1221.56,198.6
987.28,281.75,1221.25,327.4
987.18,281.7,1221.5,203.2
987.16,281.96,1220.33,172.8
987.17,282.19,1219.38,174.2
987.16,282.21,1219.27,210.9
987.12,282.21,1219.31,196.1
987.03,282.24,1219.07,193.6
987.02,282.29,1218.83,184.4
987,282.45,1218.14,182.9
986.98,282.39,1218.36,185.3
986.92,282.63,1217.21,182.5
986.81,282.94,1215.78,150.2
986.75,283.03,1215.4,157.8
986.66,282.96,1215.63,168.7
986.59,283.12,1214.9,179.5
986.52,283.57,1212.9,167.8
986.45,283.43,1213.41,155.5
986.45,283.04,1215.12,159.2
986.41,282.88,1215.75,174
986.3,282.72,1216.39,190.9
986.23,282.66,1216.57,179.1
986.22,282.29,1218.04,173.4
986.17,282.02,1219.02,175.6
986.13,282.09,1218.63,162.2
986.08,282.22,1218.04,163.7
986.05,282.34,1217.51,158.5
986.05,282.39,1217.29,163.8
986,282.31,1217.59,159.3
985.95,281.92,1219.17,192.5
985.93,281.62,1220.42,187.2
985.94,281.44,1221.21,176.7
985.93,281.37,1221.49,172.6
985.93,281.31,1221.83,189.9
985.96,281.11,1222.83,205.5
985.99,280.92,1223.66,201.5
986.03,280.87,1223.88,181.4
986.06,280.7,1224.69,193.1
986.05,280.56,1225.33,202.1
986.03,280.5,1225.55,205.9
985.96,280.51,1225.42,195.4
985.93,280.48,1225.45,140.4
985.92,280.44,1225.62,132.9
985.92,280.52,1225.29,222
985.91,280.44,1225.59,352
985.89,280.28,1226.3,359.1
985.9,280.27,1226.39,323.9
985.92,280.33,1226.1,240.7
985.93,280.25,1226.46,255.5
985.93,280.34,1225.99,346.5
985.93,280.2,1226.69,12.9
985.85,280.14,1226.85,5.16
985.86,280.08,1227.15,358.4
985.93,280.16,1226.88,347.7
985.92,280.07,1227.28,1.96
985.89,279.98,1227.76,2.91
985.82,280.03,1227.37,35.94
985.82,280.02,1227.35,51.36
985.81,279.99,1227.49,17.61
985.8,279.85,1228.11,356.2
985.8,279.77,1228.48,347.8
985.71,279.77,1228.45,9.25
985.71,279.78,1228.4,20.04
985.76,279.78,1228.41,331.7
985.8,279.83,1228.22,15.33
985.79,279.78,1228.45,11.96
985.78,279.76,1228.52,1.6
985.68,279.72,1228.64,14.78
985.82,279.7,1228.81,358.1
985.93,279.68,1229.03,317.8
985.94,279.56,1229.57,258.8
985.93,279.6,1229.35,262.8
985.91,279.67,1228.99,351.3
985.93,279.65,1229.15,12.06
985.93,279.68,1229,15.32
985.83,279.63,1229.14,5.64
985.76,279.63,1229.07,23.64
985.81,279.68,1228.87,335.3
985.79,279.75,1228.51,272.8
985.73,279.73,1228.62,264.3
985.8,279.43,1230.09,238.8
985.81,279.36,1230.42,249.3
985.82,279.42,1230.18,258.1
985.82,279.54,1229.62,286.3
985.81,279.51,1229.78,228.2
985.85,279.47,1229.98,268.9
985.83,279.37,1230.43,231.5
985.93,279.31,1230.78,228.8
985.89,279.3,1230.76,235.5
985.8,279.48,1229.83,24.69
985.78,279.51,1229.67,225.1
985.65,279.46,1229.82,7.39
985.57,279.38,1230.1,356.7
985.58,279.42,1229.95,340.1
985.59,279.45,1229.84,351.1
985.54,279.49,1229.64,11.65
985.52,279.51,1229.51,23.31
985.47,279.52,1229.42,37.46
985.46,279.6,1228.99,59.32
985.46,279.55,1229.22,39.28
985.46,279.52,1229.32,16.25
985.46,279.51,1229.38,15.02
985.45,279.55,1229.21,317.5
985.45,279.55,1229.25,327.8
985.43,279.54,1229.29,237.6
985.43,279.52,1229.37,245.3
985.34,279.6,1228.96,243.4
985.42,279.63,1228.88,282.9
985.44,279.63,1228.9,246.8
985.36,279.59,1228.99,4.44
985.32,279.63,1228.77,213.5
985.32,279.7,1228.46,206.2
985.3,279.77,1228.12,25.66
985.2,279.75,1228.12,25.13
985.19,279.68,1228.45,344.1
985.21,279.69,1228.39,37.81
985.28,279.59,1228.92,250.4
985.32,279.55,1229.11,255
985.34,279.52,1229.29,253.2
985.32,279.49,1229.42,301.5
985.32,279.43,1229.71,269.4
985.34,279.35,1230.11,227.3
985.41,279.33,1230.25,214.2
985.45,279.32,1230.33,196.3
985.53,279.38,1230.16,238.6
985.56,279.34,1230.35,231.1
985.61,279.31,1230.53,237.1
985.68,279.28,1230.77,241.3
985.7,279.23,1230.98,235.6
985.81,279.2,1231.22,229.4
985.93,279.16,1231.53,235
985.95,279.19,1231.37,243.5
985.95,279.25,1231.09,246.4
986.01,279.32,1230.85,249.8
986.06,279.38,1230.63,256.1
986.17,279.39,1230.7,286.4
986.27,279.45,1230.55,288.9
986.39,279.32,1231.35,216.8
986.43,279.21,1231.86,226.8
986.4,279.13,1232.27,227.9
986.35,279.08,1232.41,230.6
986.34,279.14,1232.07,234.9
986.32,279.35,1231.07,225.1
986.32,279.57,1230.05,184
986.41,279.71,1229.5,193.5
986.49,279.94,1228.61,171.3
986.56,279.98,1228.53,209.3
986.57,280.14,1227.81,217.7
986.62,280.47,1226.34,156.7
986.67,280.74,1225.16,242.9
986.73,280.86,1224.72,249.7
986.82,280.79,1225.1,225.6
986.87,281,1224.26,213.6
986.89,281.33,1222.84,229.3
986.93,281.16,1223.62,255.3
987,280.92,1224.76,273.2
986.97,280.89,1224.83,260.1
986.94,280.96,1224.42,264.6
986.96,281.02,1224.23,256.3
986.9,281.17,1223.49,236.8
986.8,281.28,1222.97,246.5
986.71,281.29,1222.8,247.7
986.61,281.56,1221.49,248.7
986.56,281.87,1220.16,244.3
986.49,282.42,1217.71,214.9
986.44,282.25,1218.47,207.9
986.48,282.43,1217.63,221.2
986.43,282.52,1217.24,204.7
986.42,282.52,1217.22,204
986.43,282.66,1216.62,223.4
986.45,282.84,1215.88,207.8
986.45,282.85,1215.86,227.8
986.46,283.36,1213.62,242.2
986.52,282.94,1215.56,258.6
986.5,282.48,1217.52,251.4
986.51,282.24,1218.52,256.7
986.51,282.12,1219.07,249.6
986.54,282.96,1215.42,220.4
986.54,283.39,1213.66,217.2
986.62,282.93,1215.75,242.6
986.65,282.3,1218.43,246.8
986.71,282.06,1219.57,231.9
986.78,281.96,1220.07,224.4
986.8,281.86,1220.56,238.3
986.82,281.58,1221.78,247.8
987.01,281.27,1223.2,259.7
987.05,280.51,1226.54,252.2
987.05,280.27,1227.57,248
987.04,280.34,1227.17,240.7
987.06,280.38,1226.98,213.8
987.04,280.36,1226.96,232.6
987.04,280.3,1227.27,241.5
987.14,280.25,1227.58,247.4
987.21,280.17,1228.06,241.6
987.27,280.16,1228.13,218.5
987.28,280.17,1228.09,229.7
987.39,280.08,1228.64,239.7
987.4,280.03,1228.86,229.8
987.41,280.03,1228.88,230.6
987.42,280.06,1228.76,234.3
987.4,280.1,1228.56,232
987.39,280.1,1228.54,231.9
987.4,280.1,1228.53,221
987.41,280.03,1228.82,235.6
987.46,280.03,1228.82,201.9
987.49,280.07,1228.65,203.2
987.44,280.13,1228.33,166.7
987.4,280.07,1228.57,192.7
987.4,280.04,1228.72,147
987.43,279.96,1229.06,143.7
987.51,279.97,1229.11,157.1
987.53,279.96,1229.14,183.2
987.53,279.86,1229.59,193.8
987.48,279.79,1229.88,202.9
987.52,279.74,1230.11,209
987.53,279.64,1230.57,217
987.54,279.52,1231.15,229.9
987.57,279.49,1231.31,231.4
987.54,279.49,1231.31,229.8
987.53,279.5,1231.23,203.2
987.52,279.63,1230.65,186.9
987.5,279.69,1230.39,166.4
987.43,279.7,1230.3,158
987.4,279.7,1230.27,150.3
987.33,279.71,1230.14,189.2
987.28,279.66,1230.37,197.5
987.28,279.62,1230.53,203.7
987.28,279.57,1230.76,204.2
987.25,279.55,1230.84,198.8
987.24,279.39,1231.56,230.3
987.15,279.37,1231.63,221.5
987.08,279.25,1232.1,218.6
987.05,279.21,1232.27,213.5
987.15,279.28,1232.04,228.6
987.15,279.41,1231.55,226
987.07,279.4,1231.5,210.6
987.04,279.39,1231.49,188.3
987.02,279.44,1231.21,188.6
986.99,279.4,1231.38,183.1
986.93,279.33,1231.62,204.2
986.91,279.34,1231.62,204.9
986.91,279.38,1231.49,206.4
986.9,279.37,1231.53,213
986.83,279.52,1230.86,208
986.76,279.42,1231.24,217
986.65,279.49,1230.8,191.1
986.56,279.47,1230.76,184.5
986.47,279.43,1230.87,189.8
986.45,279.34,1231.24,193.3
986.39,279.31,1231.31,186.1
986.32,279.25,1231.52,191.7
986.31,279.25,1231.49,183.7
986.23,279.32,1231.09,176.1
986.13,279.28,1231.2,194.1
986.06,279.17,1231.62,198.7
986.06,279.14,1231.74,188.8
986,279.13,1231.72,185.9
985.99,279.12,1231.75,182
985.96,279.07,1231.95,179.6
985.92,279.08,1231.83,188.8
985.86,279.03,1232.01,197.6
985.81,279.04,1231.89,194.1
985.81,279.08,1231.7,194.8
985.73,279.07,1231.69,196
985.74,279.03,1231.87,195.6
985.74,279.03,1231.87,195
985.69,279.03,1231.81,183.2
985.7,279.1,1231.47,178.4
