p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd(deg)
976.23,2.18,277.24,-0.48,82.5,7.15,5.9,1.25,3.77,6.04,1232.31,1.57,2.3,190.9
976.23,2.11,277.17,-0.4,83.4,7.11,5.93,1.18,3.79,6.08,1232.62,1.59,2.72,194.1
976.19,2.16,277.23,-0.23,84.1,7.14,6.01,1.14,3.84,6.15,1232.28,2.25,3.93,176.3
976.1,2.07,277.14,-0.03,85.9,7.1,6.09,1,3.89,6.24,1232.53,2.68,4.69,172.1
975.94,1.97,277.05,0.07,87.2,7.04,6.14,0.9,3.92,6.29,1232.77,2.69,4.17,161.5
975.82,1.91,277.01,0.18,88.2,7.01,6.19,0.83,3.95,6.34,1232.84,2.17,3.61,164.4
975.68,1.87,276.98,0.23,88.8,6.99,6.21,0.78,3.97,6.37,1232.84,2.7,4.81,160.3
975.6,1.8,276.91,0.22,89.2,6.96,6.21,0.75,3.97,6.36,1233.06,3.42,4.57,158.6
975.55,1.75,276.87,0.22,89.5,6.93,6.21,0.73,3.97,6.36,1233.21,2.81,4.69,162.5
975.43,1.72,276.84,0.29,90.2,6.92,6.24,0.68,3.99,6.4,1233.2,2.43,4.61,171
975.34,1.65,276.78,0.32,90.8,6.88,6.25,0.63,4,6.41,1233.39,2.38,3.85,154.8
975.26,1.57,276.7,0.34,91.5,6.84,6.26,0.58,4,6.42,1233.66,2.32,4.05,144
975.24,1.48,276.61,0.32,92,6.8,6.25,0.54,4,6.41,1234.04,2.49,4.45,147.8
975.23,1.38,276.52,0.29,92.4,6.75,6.24,0.51,3.99,6.4,1234.47,2.78,3.87,143.8
975.18,1.31,276.45,0.29,92.9,6.71,6.24,0.48,3.99,6.4,1234.74,2.04,3.99,157.8
975.16,1.2,276.34,0.26,93.4,6.66,6.22,0.44,3.98,6.38,1235.21,1.9,3.53,151.4
975.07,1.08,276.23,0.2,93.8,6.61,6.2,0.41,3.96,6.36,1235.61,1.94,3.63,149.2
974.95,0.96,276.12,0.12,94.1,6.55,6.16,0.39,3.94,6.32,1236.03,2.32,3.77,146.9
974.79,0.86,276.03,0.05,94.3,6.5,6.13,0.37,3.92,6.29,1236.31,1.98,3.41,142.7
974.69,0.79,275.97,0.03,94.6,6.47,6.12,0.35,3.92,6.28,1236.48,1.51,3.04,176.2
974.55,0.68,275.86,-0.06,94.8,6.42,6.08,0.33,3.89,6.24,1236.85,1.97,3.97,192.3
974.46,0.61,275.8,-0.1,95,6.38,6.06,0.32,3.88,6.22,1237.06,1.53,2.4,198.1
974.31,0.58,275.78,-0.08,95.3,6.37,6.07,0.3,3.88,6.23,1237,1.51,2.28,200.9
974.21,0.6,275.81,-0.03,95.5,6.38,6.09,0.29,3.9,6.25,1236.75,1.37,2.36,215.9
974.14,0.71,275.93,0.09,95.6,6.43,6.15,0.28,3.93,6.31,1236.16,1.21,1.76,212.1
974.13,0.84,276.06,0.22,95.6,6.49,6.2,0.29,3.97,6.37,1235.54,1,1.44,217.6
974.05,0.93,276.16,0.26,95.3,6.53,6.23,0.31,3.99,6.39,1235.01,1.03,1.56,202.1
974.01,1.03,276.26,0.33,95.1,6.58,6.26,0.32,4.01,6.42,1234.5,0.95,1.64,211.2
973.92,1.05,276.29,0.28,94.6,6.59,6.24,0.36,3.99,6.4,1234.29,1.11,1.76,213.5
973.91,1.11,276.35,0.32,94.4,6.62,6.25,0.37,4,6.42,1233.99,0.96,1.26,215.2
973.9,1.12,276.36,0.29,94.2,6.62,6.24,0.38,3.99,6.41,1233.96,0.9,1.32,233.2
973.95,1.13,276.37,0.31,94.2,6.63,6.25,0.38,4,6.41,1233.94,0.65,1.04,224
973.93,1.15,276.39,0.32,94.2,6.64,6.25,0.39,4,6.42,1233.86,0.79,1.08,247.8
973.91,1.17,276.41,0.37,94.4,6.65,6.28,0.37,4.02,6.44,1233.72,0.48,0.88,307.1
974,1.16,276.39,0.35,94.3,6.64,6.27,0.38,4.01,6.43,1233.88,0.6,0.96,357.8
974,1.14,276.38,0.38,94.6,6.64,6.28,0.36,4.02,6.45,1233.95,0.87,1.2,340.1
974.02,1.16,276.4,0.44,94.9,6.65,6.31,0.34,4.04,6.48,1233.87,0.95,1.28,336.8
974.11,1.15,276.38,0.46,95.1,6.64,6.32,0.33,4.04,6.48,1234.03,1.16,1.72,331.8
974.23,1.19,276.41,0.51,95.2,6.66,6.34,0.32,4.06,6.51,1233.98,0.8,1.4,292.5
974.35,1.09,276.3,0.4,95.1,6.61,6.29,0.32,4.02,6.45,1234.62,0.87,1.48,228.6
974.4,1.03,276.23,0.36,95.3,6.58,6.27,0.31,4.01,6.44,1234.98,1.49,2.4,249
974.5,0.96,276.15,0.29,95.3,6.55,6.24,0.31,3.99,6.4,1235.44,1.74,2.32,245.6
974.56,0.87,276.06,0.19,95.2,6.51,6.19,0.31,3.96,6.36,1235.93,1.43,1.84,232
974.69,0.94,276.12,0.32,95.6,6.54,6.25,0.29,4,6.42,1235.75,1.1,1.68,241.2
974.81,1.11,276.28,0.48,95.5,6.62,6.32,0.3,4.04,6.49,1235.1,1.45,2.44,258.7
975.01,1.23,276.38,0.51,94.9,6.68,6.34,0.34,4.05,6.5,1234.81,1.16,2,1.64
975.23,1.2,276.34,0.44,94.6,6.67,6.31,0.36,4.03,6.47,1235.23,1,2.12,261.3
975.45,1.13,276.25,0.33,94.4,6.63,6.26,0.37,4,6.42,1235.87,1.26,1.98,254.6
975.57,1.05,276.16,0.24,94.3,6.59,6.22,0.38,3.97,6.37,1236.39,1.32,2.58,263.5
975.75,0.92,276.01,0.11,94.3,6.53,6.16,0.37,3.93,6.31,1237.25,1.46,2.88,252.8
975.9,0.84,275.92,0.08,94.6,6.49,6.14,0.35,3.92,6.3,1237.78,1.24,2.3,257.8
976.1,0.84,275.9,0.09,94.7,6.49,6.15,0.34,3.93,6.3,1238.07,1.42,2.6,259.8
976.34,0.9,275.94,0.15,94.7,6.52,6.17,0.35,3.94,6.32,1238.07,1.08,2.84,278.7
976.56,0.95,275.97,0.15,94.4,6.54,6.18,0.37,3.94,6.32,1238.14,0.95,1.92,252.3
976.75,1.02,276.03,0.23,94.4,6.58,6.21,0.37,3.96,6.36,1238.03,0.71,2.4,262
976.9,1.1,276.1,0.29,94.3,6.61,6.24,0.38,3.98,6.38,1237.87,0.96,1.76,200.9
977.05,1.05,276.04,0.17,93.8,6.59,6.18,0.41,3.95,6.33,1238.28,1.21,2.8,228.4
977.21,0.99,275.96,0.08,93.6,6.56,6.14,0.42,3.92,6.29,1238.78,1.26,2.72,227.9
977.41,0.92,275.88,0.03,93.7,6.53,6.12,0.41,3.9,6.26,1239.36,1.2,3.16,244.4
977.66,1.05,275.98,0.13,93.6,6.59,6.17,0.42,3.93,6.31,1239.1,0.9,2.22,195.3
977.84,1.01,275.93,0.05,93.3,6.57,6.13,0.44,3.91,6.27,1239.51,1.34,4.81,225.3
977.93,0.98,275.9,0.01,93.2,6.56,6.11,0.45,3.9,6.25,1239.75,1.58,4.59,227.4
977.99,0.94,275.85,-0.02,93.3,6.54,6.1,0.44,3.89,6.24,1240.04,1.81,4.01,244.4
978.14,1.05,275.95,0.14,93.6,6.59,6.17,0.42,3.93,6.31,1239.7,2.1,4.49,241.2
978.31,1.23,276.11,0.27,93.3,6.68,6.23,0.45,3.97,6.37,1239.07,1.94,3.97,255
978.49,1.25,276.12,0.18,92.6,6.69,6.19,0.49,3.94,6.33,1239.23,2.4,5.49,247.3
978.65,1.23,276.08,0.15,92.5,6.68,6.17,0.5,3.93,6.31,1239.54,2.09,3.79,251.9
978.8,1.21,276.06,0.14,92.5,6.67,6.17,0.5,3.93,6.3,1239.78,2.32,3.69,247.2
978.97,1.2,276.03,0.15,92.7,6.66,6.17,0.49,3.93,6.31,1240.08,2.62,4.59,266.3
979.17,1.14,275.96,0.13,92.9,6.64,6.16,0.47,3.93,6.3,1240.57,1.97,4.53,253.6
979.28,1.17,275.98,0.18,93.1,6.65,6.19,0.46,3.94,6.32,1240.59,1.76,3.2,257.8
979.33,1.19,275.99,0.2,93.1,6.66,6.2,0.46,3.95,6.33,1240.54,1.13,2.46,244.9
979.34,1.34,276.14,0.38,93.3,6.73,6.28,0.45,4,6.41,1239.87,0.66,1.44,220.4
979.4,1.49,276.29,0.44,92.7,6.8,6.31,0.5,4.01,6.44,1239.24,1.05,2.84,258.3
979.47,1.65,276.44,0.52,92.2,6.88,6.34,0.54,4.04,6.48,1238.59,1.05,2.3,235.6
979.57,1.71,276.5,0.56,92,6.91,6.36,0.55,4.05,6.49,1238.42,1.13,3.45,286.4
979.66,1.83,276.61,0.68,92,6.97,6.42,0.56,4.08,6.55,1237.97,0.61,2.08,278.2
979.69,1.89,276.67,0.66,91.5,7,6.41,0.6,4.08,6.54,1237.74,0.59,2.04,222.6
979.8,2.04,276.81,0.64,90.4,7.08,6.4,0.68,4.07,6.53,1237.19,0.46,1.24,331.2
979.85,1.99,276.75,0.53,90,7.05,6.35,0.71,4.04,6.48,1237.54,0.79,1.94,312.5
979.91,1.94,276.7,0.49,90.1,7.03,6.33,0.7,4.03,6.46,1237.85,1.06,2.24,350.8
980.03,2.07,276.82,0.75,90.9,7.09,6.45,0.65,4.1,6.58,1237.35,0.8,2.18,245.5
980.07,2.21,276.96,0.79,90.3,7.17,6.47,0.7,4.12,6.6,1236.75,1.03,2.52,270.8
980.23,2.31,277.05,0.74,89.3,7.22,6.44,0.77,4.1,6.57,1236.53,0.91,2.2,254.7
980.31,2.33,277.07,0.72,89,7.23,6.43,0.8,4.09,6.56,1236.52,1.15,2.2,256.1
980.36,2.24,276.97,0.67,89.3,7.18,6.41,0.77,4.08,6.54,1237,1.49,2.88,237
980.45,2.28,277,0.79,89.8,7.2,6.47,0.73,4.11,6.6,1236.92,0.65,1.26,213.1
980.53,2.31,277.02,0.77,89.5,7.21,6.46,0.76,4.11,6.59,1236.91,0.51,1.28,233.3
980.55,2.59,277.3,0.95,88.9,7.36,6.54,0.82,4.16,6.67,1235.63,0.33,1,79.7
980.62,2.64,277.35,0.8,87.6,7.39,6.47,0.92,4.12,6.6,1235.52,0.81,1.78,186
980.71,2.55,277.25,0.8,88.2,7.34,6.48,0.87,4.12,6.6,1236.03,0.73,1.32,232.3
980.77,2.46,277.15,0.8,88.8,7.29,6.48,0.82,4.12,6.6,1236.54,1.04,1.92,215.7
980.8,2.44,277.13,0.9,89.5,7.28,6.52,0.76,4.15,6.65,1236.62,0.77,1.46,234.8
980.91,2.49,277.18,0.97,89.6,7.31,6.55,0.76,4.17,6.68,1236.51,0.6,1,214.4
981,2.49,277.17,0.93,89.4,7.31,6.54,0.78,4.16,6.66,1236.63,0.57,1.24,238.4
981.14,2.6,277.27,1.04,89.4,7.37,6.59,0.78,4.19,6.71,1236.29,0.42,1,276.3
981.21,2.65,277.31,0.98,88.7,7.39,6.56,0.84,4.17,6.68,1236.21,0.5,1.1,235.9
981.26,2.57,277.23,0.99,89.3,7.35,6.57,0.79,4.17,6.69,1236.6,0.36,0.8,244.4
981.27,2.6,277.25,0.97,89,7.37,6.56,0.81,4.17,6.68,1236.5,0.37,0.72,335.1
981.37,2.54,277.19,0.91,88.9,7.34,6.52,0.81,4.15,6.65,1236.88,0.86,1.2,227.7
981.39,2.47,277.11,0.99,89.9,7.3,6.56,0.74,4.17,6.69,1237.23,0.45,0.72,251.6
981.48,2.5,277.13,1.06,90.2,7.31,6.6,0.72,4.19,6.72,1237.19,0.33,0.68,231.6
981.51,2.49,277.12,1.01,89.9,7.31,6.57,0.74,4.17,6.69,1237.29,0.56,0.96,218.1
981.57,2.47,277.1,1.06,90.4,7.3,6.6,0.7,4.19,6.72,1237.44,0.57,0.88,223
981.62,2.43,277.05,1.12,91,7.28,6.62,0.66,4.21,6.75,1237.67,0.74,1.08,228.2
981.75,2.44,277.06,1.22,91.6,7.28,6.67,0.61,4.24,6.8,1237.75,0.38,0.92,260.9
981.76,2.35,276.97,1.04,91,7.24,6.59,0.65,4.18,6.71,1238.2,0.58,1.48,237
981.76,2.15,276.76,0.85,91.1,7.13,6.5,0.63,4.13,6.62,1239.17,0.61,1.08,235.5
981.8,2.01,276.62,0.68,90.9,7.06,6.42,0.64,4.08,6.54,1239.88,0.92,1.32,228.6
981.84,1.98,276.58,0.85,92.2,7.05,6.5,0.55,4.13,6.62,1240.03,1.18,1.72,223.8
981.84,1.84,276.45,0.85,93.1,6.98,6.5,0.48,4.13,6.62,1240.64,1.27,1.68,220
981.88,1.78,276.39,0.9,93.8,6.95,6.52,0.43,4.14,6.64,1240.94,1.22,1.44,227.5
981.88,1.73,276.33,0.8,93.5,6.92,6.47,0.45,4.11,6.59,1241.21,1.21,1.48,224
981.88,1.66,276.27,0.78,93.8,6.89,6.46,0.43,4.1,6.58,1241.51,1.58,2.04,228.3
981.97,1.66,276.26,0.76,93.7,6.89,6.46,0.43,4.1,6.57,1241.63,1.57,2.12,231.3
981.99,1.66,276.26,0.75,93.6,6.89,6.45,0.44,4.1,6.57,1241.66,1.49,2,231.9
981.98,1.68,276.27,0.75,93.5,6.9,6.45,0.45,4.09,6.57,1241.59,1.16,2.08,222.8
981.99,1.71,276.3,0.75,93.3,6.91,6.45,0.46,4.1,6.57,1241.45,0.9,1.36,212
982,1.67,276.26,0.71,93.3,6.89,6.43,0.46,4.08,6.55,1241.65,0.91,1.36,223.9
982,1.72,276.31,0.82,93.7,6.92,6.48,0.44,4.12,6.6,1241.39,0.67,1.28,201.7
982,1.79,276.39,0.98,94.3,6.95,6.56,0.4,4.16,6.68,1241.03,0.61,1,189.5
982.01,1.82,276.41,1.06,94.7,6.97,6.6,0.37,4.19,6.72,1240.93,1.51,2.72,184.3
982.04,1.79,276.38,1.09,95.1,6.95,6.61,0.34,4.2,6.73,1241.06,2.02,2.7,180.4
982,1.77,276.36,1.11,95.4,6.94,6.62,0.32,4.2,6.74,1241.13,1.55,2.72,166.8
982,1.76,276.35,1.1,95.4,6.94,6.62,0.32,4.2,6.74,1241.18,1.31,2.36,162.5
982.01,1.72,276.31,1.09,95.6,6.92,6.61,0.3,4.2,6.73,1241.37,1.58,2.48,161.8
982.04,1.76,276.35,1.12,95.5,6.94,6.63,0.31,4.21,6.75,1241.21,1.63,2.72,163.2
982.05,1.73,276.32,1.1,95.5,6.92,6.61,0.31,4.2,6.73,1241.34,1.45,2.4,183
982.02,1.75,276.34,1.14,95.7,6.93,6.64,0.3,4.21,6.76,1241.2,1.22,2.18,172.3
982.04,1.74,276.33,1.11,95.6,6.93,6.62,0.3,4.21,6.74,1241.3,1.69,2.72,177.7
982.05,1.7,276.29,1.09,95.7,6.91,6.61,0.3,4.2,6.73,1241.47,1.77,2.32,177.4
982.01,1.74,276.33,1.13,95.7,6.93,6.63,0.3,4.21,6.75,1241.28,1.52,2.36,180
981.95,1.76,276.36,1.15,95.7,6.94,6.64,0.3,4.22,6.76,1241.07,1.4,2.24,182.1
981.9,1.8,276.4,1.19,95.7,6.96,6.66,0.3,4.23,6.78,1240.84,1.47,2.28,181.7
981.88,1.8,276.4,1.19,95.7,6.96,6.66,0.3,4.23,6.78,1240.82,1.62,2.44,178
981.83,1.84,276.45,1.23,95.7,6.98,6.68,0.3,4.24,6.8,1240.55,1.35,2.48,185.7
981.81,1.8,276.41,1.18,95.6,6.96,6.65,0.31,4.22,6.77,1240.72,1.44,2.32,185.5
981.88,1.8,276.4,1.19,95.7,6.96,6.66,0.3,4.23,6.78,1240.81,1.33,2.4,189
981.88,1.8,276.4,1.2,95.8,6.96,6.66,0.29,4.23,6.79,1240.81,1.41,2.2,180.5
981.89,1.75,276.35,1.14,95.7,6.93,6.63,0.3,4.21,6.76,1241.06,1.38,2.28,187.4
981.89,1.68,276.28,1.09,95.8,6.9,6.61,0.29,4.2,6.73,1241.37,1.38,2.16,192.8
981.87,1.67,276.27,1.08,95.9,6.89,6.61,0.28,4.2,6.73,1241.43,1.34,2.28,200.5
981.89,1.72,276.32,1.15,96,6.92,6.64,0.28,4.22,6.76,1241.2,1.15,1.52,203.3
981.97,1.73,276.33,1.15,95.9,6.92,6.64,0.28,4.22,6.76,1241.24,1.24,1.68,214
981.9,1.73,276.33,1.15,95.9,6.92,6.64,0.28,4.22,6.76,1241.15,1.3,1.84,213.3
981.89,1.74,276.34,1.16,95.9,6.93,6.64,0.28,4.22,6.77,1241.1,1.21,1.68,215.9
981.81,1.78,276.39,1.18,95.8,6.95,6.66,0.29,4.23,6.78,1240.82,1.27,1.76,215
981.76,1.73,276.34,1.12,95.7,6.92,6.63,0.3,4.21,6.75,1240.98,1.19,1.94,215.1
981.76,1.73,276.34,1.14,95.8,6.92,6.63,0.29,4.21,6.76,1240.98,0.98,1.4,208.4
981.76,1.76,276.37,1.17,95.9,6.94,6.65,0.28,4.22,6.78,1240.85,1.39,1.84,202.5
981.81,1.75,276.35,1.14,95.7,6.93,6.63,0.3,4.21,6.76,1240.97,1,1.54,215.2
981.79,1.77,276.38,1.18,95.8,6.94,6.65,0.29,4.22,6.78,1240.82,1.08,1.76,208.2
981.82,1.83,276.44,1.23,95.8,6.97,6.68,0.29,4.24,6.8,1240.58,0.77,1.08,221.6
981.93,1.87,276.46,1.24,95.6,6.99,6.68,0.31,4.24,6.81,1240.56,1.02,1.64,217.6
981.97,1.88,276.47,1.25,95.6,7,6.69,0.31,4.25,6.81,1240.57,0.44,0.76,219.9
981.99,1.94,276.53,1.28,95.4,7.03,6.7,0.32,4.26,6.83,1240.3,0.55,1.02,155.9
982,2.12,276.72,1.53,95.8,7.12,6.82,0.3,4.33,6.95,1239.42,0.27,0.7,125.6
982,1.97,276.56,1.28,95.2,7.04,6.7,0.34,4.26,6.83,1240.19,0.7,0.96,168.6
982.04,1.81,276.4,1.2,95.7,6.96,6.67,0.3,4.23,6.79,1240.94,0.49,1,200
982,1.85,276.44,1.31,96.2,6.98,6.72,0.27,4.26,6.84,1240.73,0.18,0.44,286.7
982.02,2.16,276.75,1.66,96.5,7.14,6.89,0.25,4.38,7.02,1239.24,0.46,0.88,29.73
982.1,1.9,276.48,1.31,95.9,7.01,6.72,0.29,4.27,6.84,1240.63,0.62,0.96,357
982.06,1.98,276.57,1.47,96.4,7.05,6.79,0.25,4.31,6.92,1240.15,0.23,0.5,251
982,1.97,276.56,1.46,96.4,7.04,6.79,0.25,4.31,6.91,1240.12,0.13,0.32,359.4
981.93,2,276.59,1.48,96.4,7.06,6.8,0.25,4.32,6.93,1239.92,0.64,1.32,35.06
981.92,1.85,276.44,1.34,96.4,6.98,6.73,0.25,4.27,6.85,1240.61,1.11,1.38,32.49
981.87,1.85,276.45,1.38,96.7,6.98,6.75,0.23,4.29,6.88,1240.53,1.38,2.3,32.21
981.87,1.88,276.49,1.45,96.9,7,6.78,0.22,4.31,6.91,1240.35,1.82,2.56,22.57
981.78,1.97,276.58,1.56,97.1,7.04,6.84,0.2,4.34,6.97,1239.82,1.92,2.88,17.81
981.84,2,276.61,1.59,97.1,7.06,6.85,0.2,4.35,6.98,1239.76,1.53,2.84,12.89
981.98,2.01,276.6,1.6,97.1,7.06,6.86,0.2,4.36,6.98,1239.9,1.87,2.52,13.01
982.19,2.04,276.62,1.64,97.2,7.08,6.88,0.2,4.37,7.01,1240.01,1.41,2.4,344.5
982.23,2.08,276.66,1.68,97.2,7.1,6.9,0.2,4.38,7.03,1239.87,1.46,2.2,10.79
982.32,2.07,276.63,1.67,97.2,7.09,6.89,0.2,4.38,7.02,1240.05,1.9,2.6,17.27
982.36,2.07,276.63,1.67,97.2,7.09,6.89,0.2,4.38,7.02,1240.11,2.04,2.8,18.49
982.4,2.07,276.63,1.67,97.2,7.09,6.89,0.2,4.38,7.02,1240.16,2.15,3.16,13.91
982.49,2.07,276.62,1.68,97.3,7.09,6.9,0.19,4.38,7.02,1240.27,1.63,2.58,2.7
982.61,2.07,276.61,1.67,97.2,7.09,6.89,0.2,4.37,7.01,1240.42,2.06,3.04,8.92
982.74,2.07,276.6,1.67,97.2,7.09,6.89,0.2,4.37,7.01,1240.59,2.75,3.69,13.44
982.73,2.05,276.59,1.64,97.1,7.08,6.88,0.21,4.37,7,1240.64,2.77,3.77,13.33
982.8,2.02,276.55,1.61,97.1,7.07,6.86,0.2,4.36,6.98,1240.88,1.9,3.32,4.62
982.92,2.08,276.59,1.67,97.1,7.1,6.89,0.21,4.37,7.01,1240.77,1.53,1.98,10.83
982.98,2.07,276.59,1.65,97,7.09,6.88,0.21,4.37,7,1240.86,2.43,3.49,26.17
983.04,2.04,276.55,1.6,96.9,7.08,6.86,0.22,4.35,6.98,1241.1,2.99,4.27,37.26
983.17,2.02,276.51,1.59,97,7.07,6.85,0.21,4.35,6.97,1241.37,3.03,4.57,29.39
983.34,2,276.48,1.57,97,7.06,6.85,0.21,4.34,6.96,1241.67,3.63,5.35,29.08
983.48,1.97,276.44,1.54,97,7.04,6.83,0.21,4.33,6.95,1241.99,3.06,4.25,24.48
983.63,1.87,276.33,1.45,97,6.99,6.78,0.21,4.3,6.9,1242.64,3.18,4.39,26.39
983.77,1.83,276.27,1.42,97.1,6.97,6.77,0.2,4.29,6.88,1243.03,3.25,4.81,22.15
983.92,1.8,276.24,1.4,97.2,6.96,6.76,0.19,4.29,6.87,1243.35,3.77,5.33,28.71
984.09,1.73,276.16,1.34,97.2,6.92,6.73,0.19,4.27,6.84,1243.87,4.12,5.45,27.12
984.18,1.71,276.12,1.33,97.3,6.91,6.72,0.19,4.26,6.83,1244.11,3.66,5.37,25.92
984.35,1.63,276.03,1.25,97.3,6.87,6.69,0.19,4.24,6.79,1244.7,4.06,5.45,26.88
984.57,1.58,275.96,1.21,97.4,6.85,6.67,0.18,4.22,6.77,1245.22,4.17,5.97,29.61
984.75,1.46,275.83,1.09,97.4,6.79,6.61,0.18,4.19,6.71,1246.02,4.82,6.77,24.51
984.92,1.4,275.76,1.05,97.5,6.76,6.59,0.17,4.17,6.69,1246.5,4.21,5.73,25.59
985.1,1.34,275.68,0.99,97.5,6.73,6.56,0.17,4.16,6.66,1247,3.88,5.37,23.62
985.26,1.2,275.53,0.85,97.5,6.66,6.5,0.17,4.11,6.6,1247.88,4.07,6.01,21.1
985.44,1.15,275.46,0.83,97.7,6.64,6.49,0.15,4.1,6.58,1248.35,4.52,6.17,24.09
985.62,1.13,275.43,0.82,97.8,6.63,6.48,0.15,4.1,6.58,1248.67,4.1,6.25,23.58
985.82,1.09,275.37,0.78,97.8,6.61,6.46,0.15,4.09,6.56,1249.13,4.76,6.69,25.48
986.01,1.07,275.33,0.76,97.8,6.6,6.45,0.15,4.08,6.55,1249.47,4.27,6.29,25.21
986.24,1.1,275.35,0.79,97.8,6.62,6.47,0.15,4.09,6.56,1249.6,4.62,6.01,26.09
986.44,1.13,275.36,0.8,97.6,6.63,6.47,0.16,4.09,6.56,1249.71,4.79,6.85,25.55
986.62,1.13,275.35,0.77,97.4,6.63,6.46,0.17,4.08,6.55,1249.95,4.08,5.29,29.32
986.87,1.12,275.32,0.73,97.2,6.63,6.44,0.19,4.07,6.53,1250.32,4.25,5.97,26.63
987.07,1.05,275.23,0.64,97.1,6.59,6.4,0.19,4.04,6.48,1250.93,4.43,6.07,27.51
987.3,0.99,275.16,0.56,96.9,6.56,6.36,0.2,4.02,6.44,1251.49,3.67,6.25,26.8
987.46,0.91,275.06,0.44,96.7,6.52,6.31,0.22,3.98,6.39,1252.11,5.18,7.17,25.74
987.7,0.84,274.97,0.36,96.6,6.49,6.27,0.22,3.96,6.35,1252.73,4.9,7.53,25.91
987.95,0.82,274.93,0.31,96.4,6.48,6.25,0.23,3.94,6.32,1253.18,4.61,6.85,27.73
988.12,0.79,274.89,0.27,96.3,6.47,6.23,0.24,3.93,6.3,1253.53,4.76,7.01,31.09
988.25,0.8,274.88,0.28,96.3,6.47,6.23,0.24,3.93,6.31,1253.65,5.01,7.35,34.07
988.4,0.78,274.85,0.24,96.2,6.46,6.22,0.25,3.92,6.29,1253.95,4.42,6.33,25.37
988.57,0.77,274.83,0.24,96.2,6.46,6.21,0.25,3.92,6.29,1254.19,3.63,5.41,27.04
988.67,0.85,274.91,0.3,96.1,6.5,6.24,0.25,3.94,6.32,1253.93,3.76,5.09,27.76
988.76,0.83,274.88,0.26,95.9,6.49,6.22,0.27,3.92,6.29,1254.14,4.31,5.61,29.45
988.82,0.82,274.86,0.24,95.9,6.48,6.22,0.27,3.92,6.29,1254.27,4.28,5.65,27.27
988.97,0.87,274.9,0.27,95.8,6.5,6.23,0.27,3.93,6.3,1254.26,5.36,7.33,33.32
989.11,0.84,274.86,0.23,95.7,6.49,6.21,0.28,3.92,6.28,1254.57,4.73,6.55,34.97
989.2,0.79,274.8,0.18,95.7,6.47,6.19,0.28,3.9,6.26,1254.92,5.19,7.09,28.69
989.24,0.72,274.73,0.11,95.7,6.43,6.16,0.28,3.88,6.22,1255.31,5.08,6.41,23.53
989.39,0.72,274.71,0.14,95.9,6.43,6.17,0.26,3.89,6.24,1255.5,5.17,6.97,28.51
989.62,0.78,274.76,0.2,95.9,6.46,6.2,0.26,3.9,6.26,1255.5,5.21,8.25,31.09
989.7,0.82,274.79,0.19,95.5,6.48,6.19,0.29,3.9,6.26,1255.41,5.65,7.25,28.73
989.88,0.89,274.85,0.18,95,6.52,6.19,0.33,3.9,6.25,1255.31,4.61,7.41,32.72
989.96,0.93,274.88,0.12,94.3,6.53,6.16,0.37,3.88,6.22,1255.25,4.88,6.61,30.2
990.14,0.98,274.92,0.09,93.7,6.56,6.15,0.41,3.87,6.21,1255.25,3.89,5.99,30.89
990.31,0.92,274.84,0.02,93.7,6.53,6.12,0.41,3.85,6.18,1255.76,4.33,6.49,25.04
990.44,0.92,274.83,0.05,93.9,6.53,6.13,0.4,3.86,6.19,1255.92,3.33,5.01,27.95
990.5,0.97,274.88,0.01,93.3,6.55,6.11,0.44,3.85,6.17,1255.79,5,7.55,30.41
990.66,1,274.9,-0.07,92.5,6.57,6.07,0.49,3.82,6.13,1255.87,4.06,6.17,28.16
990.81,1,274.88,-0.14,92.1,6.57,6.05,0.52,3.81,6.1,1256.08,4.62,6.89,29.33
990.95,0.96,274.84,-0.18,92,6.55,6.03,0.52,3.79,6.08,1256.43,5.09,7.61,30.74
991.09,0.93,274.79,-0.23,91.9,6.53,6.01,0.53,3.78,6.06,1256.76,4.79,7.25,30.23
991.21,0.93,274.78,-0.25,91.8,6.53,6,0.54,3.77,6.05,1256.92,4.85,6.79,30.21
991.38,0.93,274.77,-0.31,91.4,6.53,5.97,0.56,3.76,6.02,1257.15,5.18,7.35,28.49
991.59,0.97,274.79,-0.37,90.7,6.55,5.94,0.61,3.74,5.99,1257.26,5.39,7.37,34.3
991.87,0.99,274.79,-0.4,90.4,6.56,5.93,0.63,3.73,5.98,1257.53,4.95,7.71,31.7
992.11,0.84,274.62,-0.43,91.2,6.49,5.92,0.57,3.72,5.97,1258.54,4.68,6.69,23.98
992.23,0.76,274.53,-0.48,91.4,6.45,5.9,0.55,3.71,5.94,1259.06,5.24,7.61,26.68
992.31,0.73,274.5,-0.52,91.3,6.44,5.88,0.56,3.69,5.93,1259.29,4.43,7.61,26.01
992.43,0.73,274.48,-0.57,91,6.44,5.86,0.58,3.68,5.9,1259.47,5.29,7.29,27.63
992.45,0.71,274.47,-0.72,90.1,6.43,5.8,0.64,3.64,5.84,1259.58,5.01,7.49,31.24
992.6,0.73,274.47,-0.82,89.3,6.44,5.75,0.69,3.61,5.79,1259.72,4.6,7.01,27.91
992.8,0.74,274.47,-0.9,88.7,6.44,5.72,0.73,3.59,5.76,1259.95,4.53,7.01,31.83
